Resource_Type,Old_Address,New_Address
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-Auditor:roles/browser""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/roles/browser/group:gcp-ci-prod-auditor@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-Auditor:roles/cloudasset.viewer""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/roles/cloudasset.viewer/group:gcp-ci-prod-auditor@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-Auditor:roles/logging.viewer""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/roles/logging.viewer/group:gcp-ci-prod-auditor@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-BillingAdministrator:organizations/292095750786/roles/spgiBillingViewer""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/organizations/292095750786/roles/spgiBillingViewer/group:gcp-ci-prod-billingadministrator@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-BillingAdministrator:roles/browser""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/roles/browser/group:gcp-ci-prod-billingadministrator@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-CloudArchitect:organizations/292095750786/roles/spgiApiGatewayEditor""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/organizations/292095750786/roles/spgiApiGatewayEditor/group:gcp-ci-prod-cloudarchitect@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-CloudArchitect:organizations/292095750786/roles/spgiComputeEditor""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/organizations/292095750786/roles/spgiComputeEditor/group:gcp-ci-prod-cloudarchitect@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-CloudArchitect:organizations/292095750786/roles/spgiComputeSecurityEditor""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/organizations/292095750786/roles/spgiComputeSecurityEditor/group:gcp-ci-prod-cloudarchitect@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-CloudArchitect:roles/appengine.appAdmin""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/roles/appengine.appAdmin/group:gcp-ci-prod-cloudarchitect@spglobal.com""]"
google_folder_iam_member,"module.business_units[""Commodity Insights""].module.business_unit_nonprod_folder.google_folder_iam_member.permission_mapping[""GCP-CI-Nonprod-CloudArchitect:roles/appengine.appViewer""]","module.folder_hierarchy_nonprod.google_folder_iam_member.custom_bindings[""nonprod/spgi-ci/roles/appengine.appViewer/group:gcp-ci-prod-cloudarchitect@spglobal.com""]"
